epoch,train_loss,train_acc,val_loss,val_acc,lr
0,0.295847,90.5156,3.633575,43.4196,1.00e-03
1,0.085537,97.1719,3.230384,46.9196,9.98e-04
2,0.038966,98.9219,5.367896,43.7500,9.94e-04
3,0.041519,98.5703,3.913370,47.7857,9.86e-04
4,0.033403,98.9453,4.479990,46.0848,9.76e-04
5,0.019262,99.3984,3.935935,48.1607,9.62e-04
6,0.023000,99.2266,4.028275,47.4196,9.46e-04
7,0.013531,99.5703,5.069399,46.9777,9.26e-04
8,0.006132,99.8359,5.266776,45.6964,9.05e-04
9,0.024053,99.2578,5.207036,46.4955,8.80e-04
10,0.010315,99.6641,4.488083,48.2455,8.54e-04
11,0.022008,99.3125,3.798949,47.9821,8.25e-04
12,0.010208,99.6250,4.843071,43.8929,7.94e-04
13,0.007077,99.8125,4.021329,48.6429,7.61e-04
14,0.003507,99.8906,4.411569,49.3571,7.27e-04
15,0.005128,99.8359,5.244887,46.7679,6.92e-04
16,0.005996,99.8047,4.727503,49.2232,6.55e-04
17,0.007387,99.8047,4.412445,49.6607,6.17e-04
18,0.006278,99.8594,5.165342,45.4241,5.79e-04
19,0.003597,99.8906,4.232377,50.9464,5.40e-04
20,0.001941,99.9375,4.323186,50.5134,5.00e-04
21,0.005017,99.8281,5.394291,45.9375,4.61e-04
22,0.001785,99.9531,4.136380,50.1830,4.22e-04
23,0.002589,99.9062,4.204387,50.2589,3.84e-04
24,0.000618,99.9766,4.204199,51.2188,3.46e-04
25,0.000906,99.9688,4.280049,51.5402,3.09e-04
26,0.001921,99.9453,4.611758,49.6116,2.74e-04
27,0.001055,99.9766,5.050559,47.8482,2.40e-04
28,0.001082,99.9688,4.875415,47.1964,2.07e-04
29,0.000605,99.9766,4.500187,49.5045,1.76e-04
30,0.000271,100.0000,4.659344,49.7366,1.47e-04
31,0.000225,99.9922,4.652578,49.4330,1.21e-04
32,0.000112,100.0000,4.672649,49.6071,9.64e-05
33,0.000376,99.9844,4.498243,49.4330,7.46e-05
34,0.000259,99.9922,4.486572,49.7054,5.54e-05
35,0.000198,100.0000,4.640921,49.7143,3.90e-05
36,0.000139,100.0000,4.482018,49.5134,2.54e-05
37,0.000335,99.9844,4.614087,49.1205,1.48e-05
38,0.000090,100.0000,4.612676,49.3393,7.15e-06
39,0.000078,100.0000,4.638551,49.1161,2.54e-06
